species,n_records,n_unique_cells,n_absences,auc,n_trees,n_folds_usable,n_folds,model_path,status
Quercusia quercus,2987,0,0,,0,0,0,,skip_not_tree
Zapatella quercusmedullae,52,0,0,,0,0,0,,skip_not_tree
Andricus quercustozae,2888,0,0,,0,0,0,,skip_not_tree
Zapatella quercusphellos,503,0,0,,0,0,0,,skip_not_tree
Acraspis quercushirta,1593,0,0,,0,0,0,,skip_not_tree
Cynips quercusfolii,2965,0,0,,0,0,0,,skip_not_tree
Quercus shumardii,2888,603,603,0.9125151280119653,15,3,5,data/models/Quercus_shumardii.json,saved
Quercus lamellosa,143,47,0,,0,0,0,,skip_few_cells
Quercus griffithii,363,135,135,0.8834599708828507,10,4,5,data/models/Quercus_griffithii.json,saved
Quercus blakei,221,61,0,,0,0,0,,skip_few_cells
Quercus langbianensis,58,24,0,,0,0,0,,skip_few_cells
Quercus argentata,201,74,0,,0,0,0,,skip_few_cells
Quercus convallata,212,70,0,,0,0,0,,skip_few_cells
Quercus conspersa,715,247,247,0.8638448955999207,10,5,5,data/models/Quercus_conspersa.json,saved
Quercus lanata,143,56,0,,0,0,0,,skip_few_cells
Quercus cerris,2981,897,897,0.9773193670811906,95,5,5,data/models/Quercus_cerris.json,saved
Quercus salicina,2218,453,453,0.8814778678339461,10,4,5,data/models/Quercus_salicina.json,saved
Quercus rysophylla,430,87,87,0.797363834422658,10,3,5,data/models/Quercus_rysophylla.json,saved
Pheletes quercus,2092,0,0,,0,0,0,,skip_not_tree
Quercus gentryi,285,131,131,0.8004196405286652,28,5,5,data/models/Quercus_gentryi.json,saved
Quercus oxyodon,1355,196,196,0.733707264957265,10,4,5,data/models/Quercus_oxyodon.json,saved
Quercus polycarpa,187,62,0,,0,0,0,,skip_few_cells
Quercus acrodonta,248,80,80,0.7364645198855725,11,5,5,data/models/Quercus_acrodonta.json,saved
Quercus hondae,53,13,0,,0,0,0,,skip_few_cells
Quercus vacciniifolia,1143,184,184,0.9350422915526364,49,3,5,data/models/Quercus_vacciniifolia.json,saved
Quercus humboldtii,2767,32,0,,0,0,0,,skip_few_cells
Quercus lineata,166,67,0,,0,0,0,,skip_few_cells
Quercus eduardii,1663,345,345,0.4084507042253521,10,2,5,,skip_few_folds
Quercus robur,2994,997,997,0.9660520002738762,53,5,5,data/models/Quercus_robur.json,saved
Quercus canariensis,2964,252,252,0.8730244252873564,17,4,5,data/models/Quercus_canariensis.json,saved
Quercus repanda,218,67,0,,0,0,0,,skip_few_cells
Quercus infectoria,2989,172,172,0.9430580514318553,17,5,5,data/models/Quercus_infectoria.json,saved
Quercus pannosa,444,68,0,,0,0,0,,skip_few_cells
Quercus glauca,2866,328,328,0.888683782827741,19,4,5,data/models/Quercus_glauca.json,saved
Quercus galeanensis,34,13,0,,0,0,0,,skip_few_cells
Quercus frutex,425,99,99,0.6180555555555556,10,3,5,data/models/Quercus_frutex.json,saved
Quercus hui,367,68,0,,0,0,0,,skip_few_cells
Quercus welshii,624,89,89,0.7004484126984127,32,5,5,data/models/Quercus_welshii.json,saved
Quercus rapurahuensis,71,23,0,,0,0,0,,skip_few_cells
Quercus scytophylla,784,228,228,0.934396771803312,10,5,5,data/models/Quercus_scytophylla.json,saved
Quercus toumeyi,410,122,122,0.7867416624769566,10,3,5,data/models/Quercus_toumeyi.json,saved
Quercus durifolia,511,137,137,0.4375,10,2,5,,skip_few_folds
Quercus wutaishanica,360,128,128,0.7909340316747725,31,3,5,data/models/Quercus_wutaishanica.json,saved
Quercus senescens,298,58,0,,0,0,0,,skip_few_cells
Quercus coccifera,2974,727,727,0.9261015382280776,22,5,5,data/models/Quercus_coccifera.json,saved
Quercus kelloggii,2933,367,367,0.951749942159646,33,5,5,data/models/Quercus_kelloggii.json,saved
Quercus longispica,220,37,0,,0,0,0,,skip_few_cells
Quercus gilva,902,219,219,0.9498601772537943,10,3,5,data/models/Quercus_gilva.json,saved
Quercus turbinella,2904,273,273,0.792642726730981,10,5,5,data/models/Quercus_turbinella.json,saved
Quercus crassipes,1197,241,241,0.46025076697345607,10,3,5,data/models/Quercus_crassipes.json,saved
Quercus xalapensis,543,144,144,0.7916666666666666,10,3,5,data/models/Quercus_xalapensis.json,saved
Quercus dalechampii,121,82,82,0.7601443695193695,10,5,5,data/models/Quercus_dalechampii.json,saved
Quercus macranthera,416,161,161,0.6877228379857689,15,4,5,data/models/Quercus_macranthera.json,saved
Quercus vaseyana,512,143,143,0.5815147183702013,17,3,5,data/models/Quercus_vaseyana.json,saved
Quercus mexicana,1207,249,249,0.7307692307692308,10,2,5,,skip_few_folds
Quercus canbyi,369,77,0,,0,0,0,,skip_few_cells
Quercus liebmannii,356,106,106,0.7222222222222222,10,2,5,,skip_few_folds
Quercus fleuryi,74,29,0,,0,0,0,,skip_few_cells
Stomaphis quercus,101,0,0,,0,0,0,,skip_not_tree
Quercus petraea,2971,1141,1141,0.9748104384395808,25,3,5,data/models/Quercus_petraea.json,saved
Quercus pyrenaica,2977,674,674,0.8332246518289164,86,4,5,data/models/Quercus_pyrenaica.json,saved
Quercus pubescens,2966,1001,1001,0.9144891096915633,101,5,5,data/models/Quercus_pubescens.json,saved
Quercus trinitatis,71,19,0,,0,0,0,,skip_few_cells
Quercus oocarpa,160,63,0,,0,0,0,,skip_few_cells
Quercus vulcanica,30,13,0,,0,0,0,,skip_few_cells
Psallus quercus,210,0,0,,0,0,0,,skip_not_tree
Phyllomydas quercus,38,0,0,,0,0,0,,skip_not_tree
Quercus calophylla,326,150,150,0.3984375,10,2,5,,skip_few_folds
Quercus chihuahuensis,702,272,272,0.9608284261086604,93,2,5,,skip_few_folds
Quercus dysophylla,91,50,0,,0,0,0,,skip_few_cells
Paenibacillus quercus,44,0,0,,0,0,0,,skip_not_tree
Quercus purulhana,193,81,81,0.882006432465024,10,5,5,data/models/Quercus_purulhana.json,saved
Quercus centralis,90,42,0,,0,0,0,,skip_few_cells
Quercus michauxii,2832,861,861,0.8408006059345171,20,4,5,data/models/Quercus_michauxii.json,saved
