species,n_records,n_unique_cells,n_background_cells,auc,n_epochs,n_folds_usable,n_folds,model_path,status
Quercus alba,0,0,0,,0,0,5,,skip_no_records
Quercus rubra,3367,2291,242985,0.7736716026973758,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus velutina,3493,2690,242586,0.8023455034416305,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus coccinea,3690,1826,243450,0.8374367290041269,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus palustris,0,0,0,,0,0,5,,skip_no_records
Quercus phellos,3399,1654,243622,0.900571279702761,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus macrocarpa,0,0,0,,0,0,5,,skip_no_records
Quercus bicolor,3516,1424,243852,0.8411670607775787,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus stellata,0,0,0,,0,0,5,,skip_no_records
Quercus marilandica,3590,2462,242814,0.853478995528237,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus falcata,3531,2633,242643,0.8746682960838079,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus nigra,3702,2677,242599,0.8286993887075699,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus laurifolia,1564,1122,244154,0.9135879312160835,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus virginiana,3574,1850,243426,0.9289142567005461,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus shumardii,3753,1562,243714,0.8032632586990186,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus michauxii,3530,2325,242951,0.8607690660404923,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus montana,3569,2558,242718,0.8920227824193823,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus muehlenbergii,3627,2409,242867,0.8391406530400263,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus lyrata,1534,1141,244135,0.9116350188691064,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus texana,278,221,245055,0.8013639824964065,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus imbricaria,3810,2028,243248,0.8878485584558409,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
