species,n_records,n_unique_cells,n_absences,auc,n_trees,n_folds_usable,n_folds,model_path,status
Quercus rubra,3367,2555,2555,0.7770367451275544,27,5,5,data/models_usa_30s/Quercus_rubra.json,saved
Quercus virginiana,3574,2476,2476,0.949513909614442,42,5,5,data/models_usa_30s/Quercus_virginiana.json,saved
Quercus kelloggii,3730,2364,2364,0.9554611347916427,29,5,5,data/models_usa_30s/Quercus_kelloggii.json,saved
Quercus phellos,3399,2185,2185,0.9076330382349409,46,5,5,data/models_usa_30s/Quercus_phellos.json,saved
Acer rubrum,3372,2697,2697,0.7688238245775795,10,5,5,data/models_usa_30s/Acer_rubrum.json,saved
Acer saccharinum,3550,2817,2817,0.8107770694848666,63,5,5,data/models_usa_30s/Acer_saccharinum.json,saved
Pinus strobus,3452,2746,2746,0.8488062854377931,76,5,5,data/models_usa_30s/Pinus_strobus.json,saved
Pinus taeda,3649,2817,2817,0.9025780831862894,60,5,5,data/models_usa_30s/Pinus_taeda.json,saved
Pinus palustris,3744,2178,2178,0.9466697862413206,100,5,5,data/models_usa_30s/Pinus_palustris.json,saved
Pinus ponderosa,2514,1531,1531,0.9404144577995591,48,5,5,data/models_usa_30s/Pinus_ponderosa.json,saved
Pseudotsuga menziesii,2561,1883,1883,0.89415080271841,10,5,5,data/models_usa_30s/Pseudotsuga_menziesii.json,saved
Liquidambar styraciflua,3478,2559,2559,0.8479709273301665,48,5,5,data/models_usa_30s/Liquidambar_styraciflua.json,saved
Liriodendron tulipifera,3620,2873,2873,0.8211204531639769,49,5,5,data/models_usa_30s/Liriodendron_tulipifera.json,saved
Fagus grandifolia,3617,2932,2932,0.792721057427286,50,5,5,data/models_usa_30s/Fagus_grandifolia.json,saved
Betula papyrifera,3518,2845,2845,0.8844101389525905,38,5,5,data/models_usa_30s/Betula_papyrifera.json,saved
Platanus occidentalis,3685,3163,3163,0.7930751518958128,79,5,5,data/models_usa_30s/Platanus_occidentalis.json,saved
Ulmus americana,3609,2861,2861,0.7669899065320065,14,5,5,data/models_usa_30s/Ulmus_americana.json,saved
Carya illinoinensis,3782,2745,2745,0.8817505448797437,48,5,5,data/models_usa_30s/Carya_illinoinensis.json,saved
Juglans nigra,3546,2984,2984,0.7911402488738558,52,5,5,data/models_usa_30s/Juglans_nigra.json,saved
Taxodium distichum,5265,3355,3355,0.8895484958462759,64,5,5,data/models_usa_30s/Taxodium_distichum.json,saved
Juniperus virginiana,3381,2857,2857,0.7816046236867388,38,5,5,data/models_usa_30s/Juniperus_virginiana.json,saved
Tsuga canadensis,3489,2700,2700,0.8657231541759689,90,5,5,data/models_usa_30s/Tsuga_canadensis.json,saved
Populus tremuloides,3644,3022,3022,0.8925719220156596,44,5,5,data/models_usa_30s/Populus_tremuloides.json,saved
Sequoiadendron giganteum,3589,535,535,0.9432713797866741,56,5,5,data/models_usa_30s/Sequoiadendron_giganteum.json,saved
Magnolia grandiflora,3735,2701,2701,0.8872390609874792,134,5,5,data/models_usa_30s/Magnolia_grandiflora.json,saved
Nyssa sylvatica,3462,2963,2963,0.8089261483166318,87,5,5,data/models_usa_30s/Nyssa_sylvatica.json,saved
Robinia pseudoacacia,3580,2905,2905,0.6973170959782258,31,5,5,data/models_usa_30s/Robinia_pseudoacacia.json,saved
Celtis occidentalis,3428,2820,2820,0.8314650794173104,26,5,5,data/models_usa_30s/Celtis_occidentalis.json,saved
Fraxinus americana,3443,2761,2761,0.7749247606710179,64,5,5,data/models_usa_30s/Fraxinus_americana.json,saved
Prunus serotina,3572,2972,2972,0.7131672520936518,64,5,5,data/models_usa_30s/Prunus_serotina.json,saved
Cornus florida,3589,3036,3036,0.8280104308456556,48,5,5,data/models_usa_30s/Cornus_florida.json,saved
Cercis canadensis,3603,2934,2934,0.847325384338229,26,5,5,data/models_usa_30s/Cercis_canadensis.json,saved
