species,common_name,goals,sun,evergreen,care,warning,native_regions,invasive_in
Quercus shumardii,Shumard oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,n_america,
Quercus griffithii,Griffithii oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus conspersa,Conspersa oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus cerris,Turkey oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,Can be weedy outside southern Europe.,"europe,mediterranean",
Quercus salicina,Salicina oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus rysophylla,Rysophylla oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus gentryi,Gentryi oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus oxyodon,Oxyodon oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus acrodonta,Acrodonta oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus vacciniifolia,Vacciniifolia oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus robur,English oak,"shade,beauty",full,no,"A big, long-lived shade tree for deep soils. Slow at first, then massive.",,europe,
Quercus canariensis,Algerian oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,mediterranean,
Quercus infectoria,Aleppo oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,mediterranean,
Quercus glauca,Ring-cupped oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,e_asia,
Quercus frutex,Frutex oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus welshii,Welshii oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus scytophylla,Scytophylla oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus toumeyi,Toumeyi oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus wutaishanica,Wutaishanica oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus coccifera,Kermes oak,beauty,full,yes,"A tough, shrubby evergreen oak for hot, dry, limestone sites.",,mediterranean,
Quercus kelloggii,California black oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,n_america,
Quercus gilva,Gilva oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus turbinella,Turbinella oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus crassipes,Crassipes oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus xalapensis,Xalapensis oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus dalechampii,Dalechampii oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus macranthera,Macranthera oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus vaseyana,Vaseyana oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"n_america,europe,e_asia,mexico_ca,mediterranean",
Quercus petraea,Sessile oak,"shade,beauty",full,no,"Similar to English oak; copes a little better on drier, rockier ground.",,europe,
Quercus pyrenaica,Pyrenean oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"europe,mediterranean",
Quercus pubescens,Downy oak,"shade,beauty",full,no,Give it room and a deep soak while young. Oaks often resent compacted or constantly wet soil.,,"europe,mediterranean",
