species,common_name,use,region,notes
Quercus robur,English oak,native_woodland,europe,
Quercus petraea,Sessile oak,native_woodland,europe,
Quercus pubescens,Downy oak,native_woodland,europe,
Quercus ilex,Holm oak,native_woodland,europe,
Quercus suber,Cork oak,timber,europe,cork
Quercus cerris,Turkey oak,street_park,europe,
Quercus coccifera,Kermes oak,native_woodland,europe,
Quercus faginea,Portuguese oak,native_woodland,europe,
Quercus rubra,Northern red oak,street_park,north_america,widely planted in Europe
Quercus alba,White oak,timber,north_america,
Quercus palustris,Pin oak,street_park,north_america,
Quercus virginiana,Southern live oak,street_park,north_america,
Quercus macrocarpa,Bur oak,street_park,north_america,
Fagus sylvatica,European beech,native_woodland,europe,
Fagus grandifolia,American beech,native_woodland,north_america,
Castanea sativa,Sweet chestnut,fruit_nut,europe,
Castanea dentata,American chestnut,timber,north_america,blight-limited
Carpinus betulus,Common hornbeam,street_park,europe,
Ostrya carpinifolia,European hop-hornbeam,street_park,europe,
Corylus avellana,Common hazel,fruit_nut,europe,
Corylus colurna,Turkish hazel,street_park,europe,
Betula pendula,Silver birch,native_woodland,europe,
Betula pubescens,Downy birch,native_woodland,europe,
Betula papyrifera,Paper birch,street_park,north_america,
Alnus glutinosa,Common alder,native_woodland,europe,riparian
Alnus incana,Grey alder,native_woodland,europe,
Alnus cordata,Italian alder,street_park,europe,
Acer pseudoplatanus,Sycamore maple,street_park,europe,
Acer platanoides,Norway maple,street_park,europe,
Acer campestre,Field maple,street_park,europe,
Acer monspessulanum,Montpellier maple,native_woodland,europe,
Acer opalus,Italian maple,native_woodland,europe,
Acer rubrum,Red maple,street_park,north_america,
Acer saccharum,Sugar maple,timber,north_america,maple syrup
Acer saccharinum,Silver maple,street_park,north_america,
Acer negundo,Box elder,street_park,north_america,invasive in Europe
Acer palmatum,Japanese maple,ornamental,asia,
Fraxinus excelsior,European ash,timber,europe,ash dieback
Fraxinus angustifolia,Narrow-leaved ash,native_woodland,europe,
Fraxinus ornus,Manna ash,street_park,europe,
Fraxinus americana,White ash,timber,north_america,
Fraxinus pennsylvanica,Green ash,street_park,north_america,
Ulmus minor,Field elm,native_woodland,europe,elm disease
Ulmus glabra,Wych elm,native_woodland,europe,
Ulmus laevis,European white elm,native_woodland,europe,
Ulmus americana,American elm,street_park,north_america,
Tilia cordata,Small-leaved lime,street_park,europe,
Tilia platyphyllos,Large-leaved lime,street_park,europe,
Tilia tomentosa,Silver lime,street_park,europe,
Tilia americana,American basswood,street_park,north_america,
Populus nigra,Black poplar,timber,europe,
Populus alba,White poplar,street_park,europe,
Populus tremula,European aspen,native_woodland,europe,
Populus deltoides,Eastern cottonwood,timber,north_america,
Salix alba,White willow,native_woodland,europe,riparian
Salix caprea,Goat willow,native_woodland,europe,
Salix fragilis,Crack willow,native_woodland,europe,
Salix babylonica,Weeping willow,ornamental,asia,
Juglans regia,Common walnut,fruit_nut,europe,
Juglans nigra,Black walnut,timber,north_america,
Carya illinoinensis,Pecan,fruit_nut,north_america,
Carya ovata,Shagbark hickory,timber,north_america,
Platanus orientalis,Oriental plane,street_park,europe,
Platanus occidentalis,American sycamore,street_park,north_america,
Platanus hispanica,London plane,street_park,europe,hybrid; dominant European street tree
Aesculus hippocastanum,Horse chestnut,street_park,europe,
Aesculus glabra,Ohio buckeye,street_park,north_america,
Robinia pseudoacacia,Black locust,agroforestry,north_america,nitrogen fixer; invasive in Europe
Gleditsia triacanthos,Honey locust,street_park,north_america,
Sorbus aucuparia,Rowan,street_park,europe,
Sorbus domestica,Service tree,fruit_nut,europe,
Sorbus torminalis,Wild service tree,timber,europe,
Aria edulis,Common whitebeam,street_park,europe,was Sorbus aria; GBIF moved it to Aria
Prunus avium,Wild cherry,fruit_nut,europe,
Prunus padus,Bird cherry,street_park,europe,
Prunus amygdalus,Almond,fruit_nut,asia,accepted name for Prunus dulcis
Prunus persica,Peach,fruit_nut,asia,
Prunus armeniaca,Apricot,fruit_nut,asia,
Prunus domestica,European plum,fruit_nut,europe,
Prunus cerasus,Sour cherry,fruit_nut,europe,
Prunus serrulata,Japanese cherry,ornamental,asia,
Prunus serotina,Black cherry,timber,north_america,invasive in Europe
Prunus mahaleb,St Lucie cherry,ornamental,europe,
Malus domestica,Apple,fruit_nut,global,
Malus sylvestris,European crab apple,native_woodland,europe,
Pyrus communis,Pear,fruit_nut,europe,
Pyrus pyraster,Wild pear,native_woodland,europe,
Cydonia oblonga,Quince,fruit_nut,asia,
Mespilus germanica,Medlar,fruit_nut,europe,
Crataegus monogyna,Common hawthorn,native_woodland,europe,hedgerow
Crataegus laevigata,Midland hawthorn,native_woodland,europe,
Ficus carica,Common fig,fruit_nut,asia,
Olea europaea,Olive,fruit_nut,europe,
Ceratonia siliqua,Carob,agroforestry,europe,
Morus nigra,Black mulberry,fruit_nut,asia,
Morus alba,White mulberry,fruit_nut,asia,
Celtis australis,European nettle tree,street_park,europe,
Celtis occidentalis,Common hackberry,street_park,north_america,
Liquidambar styraciflua,Sweetgum,street_park,north_america,
Liriodendron tulipifera,Tulip tree,street_park,north_america,
Magnolia grandiflora,Southern magnolia,ornamental,north_america,
Catalpa bignonioides,Southern catalpa,street_park,north_america,
Catalpa speciosa,Northern catalpa,street_park,north_america,
Paulownia tomentosa,Foxglove tree,ornamental,asia,
Cercis siliquastrum,Judas tree,ornamental,europe,
Cercis canadensis,Eastern redbud,ornamental,north_america,
Albizia julibrissin,Persian silk tree,ornamental,asia,
Koelreuteria paniculata,Golden rain tree,street_park,asia,
Styphnolobium japonicum,Japanese pagoda tree,street_park,asia,
Zelkova serrata,Japanese zelkova,street_park,asia,
Ginkgo biloba,Ginkgo,street_park,asia,
Cercidiphyllum japonicum,Katsura,ornamental,asia,
Metasequoia glyptostroboides,Dawn redwood,street_park,asia,
Cryptomeria japonica,Japanese cedar,timber,asia,
Phellodendron amurense,Amur cork tree,street_park,asia,
Arbutus unedo,Strawberry tree,ornamental,europe,
Laurus nobilis,Bay laurel,ornamental,europe,
Ilex aquifolium,European holly,native_woodland,europe,
Cornus mas,Cornelian cherry,ornamental,europe,
Cornus florida,Flowering dogwood,ornamental,north_america,
Nyssa sylvatica,Black tupelo,street_park,north_america,
Diospyros kaki,Persimmon,fruit_nut,asia,
Diospyros virginiana,American persimmon,fruit_nut,north_america,
Eriobotrya japonica,Loquat,fruit_nut,asia,
Punica granatum,Pomegranate,fruit_nut,asia,
Pistacia vera,Pistachio,fruit_nut,asia,
Pistacia terebinthus,Turpentine tree,native_woodland,europe,
Citrus limon,Lemon,fruit_nut,asia,
Citrus sinensis,Sweet orange,fruit_nut,asia,
Citrus reticulata,Mandarin,fruit_nut,asia,
Ailanthus altissima,Tree of heaven,street_park,asia,highly invasive; modelled for control not planting
Pinus sylvestris,Scots pine,timber,europe,
Pinus nigra,Black pine,timber,europe,
Pinus pinaster,Maritime pine,timber,europe,
Pinus pinea,Stone pine,fruit_nut,europe,pine nuts
Pinus halepensis,Aleppo pine,timber,europe,
Pinus cembra,Swiss stone pine,native_woodland,europe,
Pinus uncinata,Mountain pine,native_woodland,europe,
Pinus strobus,Eastern white pine,timber,north_america,
Pinus radiata,Monterey pine,timber,north_america,major plantation species
Pinus ponderosa,Ponderosa pine,timber,north_america,
Pinus taeda,Loblolly pine,timber,north_america,
Pinus palustris,Longleaf pine,timber,north_america,
Pinus contorta,Lodgepole pine,timber,north_america,
Picea abies,Norway spruce,timber,europe,
Picea sitchensis,Sitka spruce,timber,north_america,
Picea glauca,White spruce,timber,north_america,
Picea pungens,Blue spruce,ornamental,north_america,
Abies alba,Silver fir,timber,europe,
Abies nordmanniana,Nordmann fir,ornamental,asia,Christmas trees
Abies grandis,Grand fir,timber,north_america,
Abies balsamea,Balsam fir,timber,north_america,
Larix decidua,European larch,timber,europe,
Larix kaempferi,Japanese larch,timber,asia,
Pseudotsuga menziesii,Douglas fir,timber,north_america,
Tsuga heterophylla,Western hemlock,timber,north_america,
