species,auc,tss,tss_max,boyce,sensitivity,omission_rate,n_presence
Quercus suber,0.9502894747627496,0.8077954734569696,0.8325606415912082,0.8966865794404839,0.9190286594330194,0.08097134056698059,276.6666666666667
Pinus uncinata,0.9221552682383681,0.7268733540155584,0.7936711052209812,0.9180791483420305,0.9113910438459676,0.08860895615403244,243.75
Melia azedarach,0.9199815151650123,0.5501425813493187,0.7225395991661188,0.9129337442253409,0.7039167921644983,0.2960832078355016,373.6
Pinus cembra,0.9136945055567867,0.49666879571048267,0.7285897634592283,0.4077850227159021,0.6255401920295537,0.37445980797044626,264.3333333333333
Juniperus oxycedrus,0.8965980012424413,0.610938751960342,0.7246747189584068,0.8267072833699974,0.8333967677471704,0.1666032322528295,429.6666666666667
Celtis australis,0.8907719568233976,0.556742779220754,0.6621749375806074,0.9530330658066257,0.7343959133562775,0.2656040866437225,367.4
Acacia dealbata,0.8903259910835994,0.60555209193228,0.7078401244489567,0.7216740261427221,0.7793981678459296,0.22060183215407034,226.25
Quercus coccifera,0.881457431627775,0.5637912104058999,0.7125659573882367,0.7177327084169951,0.7617654455428631,0.23823455445713695,454.6666666666667
Pinus halepensis,0.8787347776055744,0.6166619285569394,0.7160250808945204,0.6314075562480741,0.805215881642512,0.1947841183574879,330.0
Pistacia terebinthus,0.8773737378722438,0.5734546131542886,0.6481409612460275,0.9086762588602862,0.794066461525252,0.20593353847474807,351.0
Rhaphiolepis bibas,0.8754906664363796,0.544840939453775,0.616418164035138,0.9645287026704595,0.7632978119408478,0.23670218805915227,538.6
Punica granatum,0.8745620309269839,0.5480360940120496,0.612449369053324,0.9585508131001653,0.7765140782959815,0.22348592170401854,532.6
Arbutus unedo,0.8725927079989472,0.591242167952523,0.6354233847163395,0.9281705136759613,0.7539820664598695,0.2460179335401304,349.6
Pinus pinea,0.8712254919168255,0.46699789866815805,0.6726977944045955,0.789256264519036,0.6945564572202708,0.3054435427797292,325.0
Pinus pinaster,0.8660134050620327,0.5312253255494511,0.5969207644986361,0.9539226914433547,0.7846940335399214,0.21530596646007857,497.0
Ostrya carpinifolia,0.8640056676757111,0.5040240550396773,0.6460689314574867,0.6443037465454112,0.6388376856118791,0.36116231438812085,144.25
Cupressus sempervirens,0.857657363227255,0.5087985994197146,0.5831819059703671,0.9696330305747637,0.7098144732228667,0.2901855267771333,516.6
Juniperus thurifera,0.8499677467551383,0.47518406391108925,0.540834701108232,0.9669247726446724,0.603923853923854,0.39607614607614605,269.5
Cercis siliquastrum,0.8454119288793978,0.4884380919535605,0.5718263670623803,0.9596211874989201,0.7111520669559723,0.2888479330440276,411.6
Olea europaea,0.8411113252516561,0.504071267527487,0.5697758779169874,0.9659956238760984,0.6833820419878779,0.3166179580121221,353.6
Quercus ilex,0.8339773620154517,0.5179672427885372,0.5606913978757749,0.8932521243386431,0.7393850575978956,0.26061494240210437,390.4
Acer opalus,0.8337711534754311,0.45174314624844386,0.5564641718123946,0.9205104883944889,0.6646930214183272,0.3353069785816728,300.8
Acer negundo,0.8297239927870033,0.4940536626183082,0.5112768426630901,0.9760739573117994,0.7669129284072758,0.23308707159272418,444.0
Prunus armeniaca,0.8151025411252872,0.4492622667735984,0.5035214597627746,0.9454914047507291,0.6843876982775032,0.3156123017224968,654.0
Pseudotsuga menziesii,0.8145450516094099,0.39255478259168103,0.5022009526492139,0.9642474529115554,0.5586209780749793,0.4413790219250206,599.2
Fraxinus angustifolia,0.8118588499584007,0.4337350554471648,0.5296394542579692,0.943868271294952,0.6707726458505939,0.32922735414940607,423.6
Aria edulis,0.8083852883066903,0.43613111724735426,0.48564948812537195,0.9685469804503338,0.7512653427702494,0.24873465722975055,462.2
Sorbus aucuparia,0.8080883393220795,0.47128148632193945,0.5075802629020059,0.9766746472877594,0.735882714074629,0.264117285925371,473.8
Ailanthus altissima,0.8055074016376358,0.45193383218675176,0.47220985398589976,0.9826959755446409,0.7107279080299139,0.2892720919700861,412.2
Larix decidua,0.8043551322579363,0.3882716217247174,0.5000607047615307,0.7890069184201615,0.6351699695128913,0.3648300304871087,402.0
Prunus serotina,0.8034838375709779,0.37151626326604165,0.5015863671667502,0.7226769576244156,0.6311970507313532,0.36880294926864676,289.0
Fraxinus ornus,0.80042628238735,0.46480587199789375,0.493527769331389,0.969507752065961,0.7612955464949961,0.23870445350500397,339.4
Taxodium distichum,0.7992748443089082,0.4050305782120164,0.47318459212881303,0.939671996297753,0.6445838561148718,0.3554161438851282,323.8
Prunus amygdalus,0.7969148025896237,0.30131890955336227,0.5178466784899578,0.40874086777418644,0.44792696050821473,0.5520730394917852,368.2
Paulownia tomentosa,0.7945691705760197,0.42659278239753035,0.45628550252919514,0.9525365757800899,0.6787403999876951,0.3212596000123049,430.8
Abies alba,0.7935769609521418,0.3627771444524788,0.4652886561433977,0.9813948028210531,0.5875376663908605,0.41246233360913953,496.4
Quercus rubra,0.7891479503507275,0.3959609665305911,0.46834686497463307,0.9626639339432457,0.6503215463273262,0.34967845367267386,550.4
Betula pubescens,0.787458391371948,0.4174361868996629,0.4620036554433094,0.9667873627505882,0.6622753221363512,0.3377246778636488,451.6
Picea abies,0.7842155082700797,0.35589317499929596,0.45454076735267285,0.862403208753804,0.5727502541031851,0.42724974589681486,460.6
Laurus nobilis,0.7831390538154052,0.4036395614272463,0.4483597407716351,0.9439055855680456,0.7082365050993673,0.2917634949006328,439.2
Ficus carica,0.7802920667750781,0.39980398210465806,0.44341280639345265,0.9781938918946622,0.7121035668346064,0.2878964331653936,453.8
Quercus pubescens,0.7675966410365171,0.3841517935711285,0.424015163489967,0.9654203753433886,0.7182167825036105,0.2817832174963895,385.0
Platanus hispanica,0.7665635384485118,0.3766046204171415,0.4191037421684795,0.9374772917650065,0.680392393510223,0.319607606489777,380.4
Prunus mahaleb,0.763777001027301,0.3915975146976075,0.4291765578428457,0.9634530838814864,0.7275227279757422,0.27247727202425776,448.8
Acer monspessulanum,0.7626374319758111,0.3498101708246949,0.4211014600006946,0.8930585516775441,0.6271920608218753,0.37280793917812477,360.4
