species,n_presence,n_train_presence,n_background,auc,boyce,threshold,sensitivity,specificity,tss,omission_rate,tss_max,fold
Prunus armeniaca,486,2784,10446,0.8508472733375407,0.7725648589574369,0.48021891713142395,0.5246913580246914,0.8912502393260578,0.4159415973507492,0.47530864197530864,0.5764366063683186,1
Prunus persica,721,2474,10301,0.7542942183683068,0.9391147350029121,0.47223037481307983,0.5589459084604715,0.7757499271915348,0.3346958356520062,0.44105409153952846,0.40053919330509496,1
Pseudotsuga menziesii,685,2311,10367,0.7783724183769527,0.9983110075713454,0.42960384488105774,0.6744525547445256,0.7338670782289959,0.4083196329735215,0.3255474452554744,0.41474639841890215,1
Picea pungens,689,2280,10411,0.763807929510751,0.9947699475829936,0.5128694772720337,0.6865021770682148,0.7118432427240419,0.3983454197922567,0.3134978229317852,0.3993363333049405,1
Malus sylvestris,558,2403,10307,0.6631499002139688,0.9805940594059406,0.48798325657844543,0.7580645161290323,0.46502377025322594,0.22308828638225808,0.24193548387096775,0.2418968839425341,1
Populus tremula,517,2356,10317,0.6128523671939929,0.9213829976247501,0.4690641462802887,0.5551257253384912,0.6243093922651933,0.17943511760368458,0.44487427466150875,0.18119705903141214,1
Cydonia oblonga,398,2442,10338,0.7326631221497311,0.7942224810716366,0.6154465675354004,0.24120603015075376,0.8845037724898432,0.12570980264059695,0.7587939698492463,0.38765796480953807,1
Prunus avium,511,2316,10361,0.647555534821137,0.8920209668025626,0.4917961359024048,0.3659491193737769,0.7811022102113696,0.14705132958514655,0.6340508806262231,0.23887258991502647,1
Quercus petraea,676,2151,10307,0.7071844090561765,0.981674378788026,0.4944765567779541,0.5310650887573964,0.7289220917822838,0.2599871805396803,0.46893491124260356,0.32445477107245435,1
Torminalis glaberrima,198,2589,10400,0.685942599067599,0.718309366985782,0.5430022478103638,0.29292929292929293,0.8557692307692307,0.14869852369852365,0.7070707070707071,0.2867181429681429,1
Salix caprea,566,2190,10271,0.6575915481958363,0.9832818383321782,0.4744608402252197,0.7120141342756183,0.5341252068931944,0.24613934116881264,0.2879858657243817,0.25273136860342665,1
Quercus rubra,349,2403,10369,0.7774184179700291,0.9762462907621205,0.5213788747787476,0.3553008595988539,0.9152280837110618,0.2705289433099156,0.6446991404011462,0.4334371159791101,1
