variable,species_tested,share_positive,majority_direction_share,mean_abs_effect
landcover_bare_frac,69,0.028985507246376812,0.9710144927536232,0.18208171681785928
landcover_snowice_frac,69,0.028985507246376812,0.9710144927536232,0.05818380565361272
ENV elevation,69,0.15942028985507245,0.8405797101449275,0.45496067671199947
ENV bio_1,69,0.782608695652174,0.782608695652174,0.6089289749016193
ENV bio_12,69,0.2608695652173913,0.7391304347826086,0.40846089899078447
landcover_builtup_frac,69,0.7391304347826086,0.7391304347826086,0.26795675928226964
ndvi_seasonal_amplitude,69,0.2608695652173913,0.7391304347826086,0.5306234626587903
landcover_grass_natural_frac,69,0.2898550724637681,0.7101449275362319,0.16633358336960474
landcover_cropland_frac,69,0.30434782608695654,0.6956521739130435,0.2277789594642527
landcover_tree_needleleaf_frac,69,0.3333333333333333,0.6666666666666666,0.23816806255465012
ndvi_observed_mean,69,0.6376811594202898,0.6376811594202898,0.279849337902837
landcover_shrub_frac,69,0.36231884057971014,0.6376811594202898,0.15521224356958063
soilmoisture_amplitude,69,0.6231884057971014,0.6231884057971014,0.18098358121123068
landcover_tree_frac,69,0.6086956521739131,0.6086956521739131,0.3150332663762291
landcover_tree_broadleaf_frac,69,0.5942028985507246,0.5942028985507246,0.3088657225943166
ENV ph_h2o_0-30cm,69,0.5797101449275363,0.5797101449275363,0.5202081199337107
soilmoisture_mean,69,0.5797101449275363,0.5797101449275363,0.20617358465466618
landcover_water_frac,69,0.4492753623188406,0.5507246376811594,0.06101414865933329
landcover_land_frac,69,0.4492753623188406,0.5507246376811594,0.0717308586776741
ndvi_peak,69,0.5217391304347826,0.5217391304347826,0.3952614110158879
ndvi_growing_season_mean,69,0.5072463768115942,0.5072463768115942,0.34759131146254785
