feature_set,metric,stratum,n,mean_delta,sd_delta,share_improved
env_satellite,auc,all,339,0.012167961373919874,0.021058443152680108,0.7522123893805309
env_satellite,tss,all,339,0.03085378390142923,0.05385227057839071,0.7492625368731564
env_satellite,boyce,all,339,0.016617600782184216,0.10320737747029084,0.5486725663716814
env_satellite,auc,low_tree,339,0.01402788662734137,0.027401722254744392,0.6991150442477876
env_satellite,tss,low_tree,339,0.029191149756992173,0.06453195018968462,0.7227138643067846
env_satellite,boyce,low_tree,339,0.028203421340930644,0.16569209357068607,0.5752212389380531
env_satellite,auc,no_tree,336,0.01481768958725451,0.02920330584195222,0.7202380952380952
env_satellite,tss,no_tree,336,0.030412164437468404,0.06679201024191807,0.6904761904761905
env_satellite,boyce,no_tree,336,0.035896148388402147,0.19387483765675254,0.5744047619047619
env_satellite,auc,cropland,336,0.011449081605670909,0.02951092783272991,0.6934523809523809
env_satellite,tss,cropland,336,0.015541027371222437,0.06377465720973761,0.6547619047619048
env_satellite,boyce,cropland,336,0.050922203573923165,0.21589029478040372,0.6041666666666666
env_satellite,auc,high_tree,337,0.0038243416245418898,0.028105853363242523,0.5608308605341247
env_satellite,tss,high_tree,337,0.014653660584484939,0.07385815752469269,0.6053412462908012
env_satellite,boyce,high_tree,337,-0.0020034131651480843,0.1905615546901817,0.5281899109792285
satellite,auc,all,339,-0.03615286284108471,0.05301643752033891,0.22418879056047197
satellite,tss,all,339,-0.033459596972833947,0.09720219884672354,0.34513274336283184
satellite,boyce,all,339,-0.025632884869251065,0.19184175852767707,0.35103244837758113
satellite,auc,low_tree,339,-0.03651949585137441,0.0620772948987714,0.2890855457227139
satellite,tss,low_tree,339,-0.041498065792001985,0.10832793002129387,0.37168141592920356
satellite,boyce,low_tree,339,-0.06544314658627665,0.28324938314390985,0.3834808259587021
satellite,auc,no_tree,336,-0.03634439094968721,0.06478773700301586,0.30654761904761907
satellite,tss,no_tree,336,-0.037761510063304915,0.11121073612078548,0.36904761904761907
satellite,boyce,no_tree,336,-0.036428016664785894,0.32131863677828776,0.39285714285714285
satellite,auc,cropland,336,-0.04331003253068814,0.07274684202265483,0.25297619047619047
satellite,tss,cropland,336,-0.04151262669616641,0.11514645551881457,0.35119047619047616
satellite,boyce,cropland,336,-0.027093461529944386,0.36993007376678083,0.48214285714285715
satellite,auc,high_tree,337,-0.058254167727103345,0.07920614546201343,0.20771513353115728
satellite,tss,high_tree,337,-0.08960100629012739,0.1416759167049481,0.27002967359050445
satellite,boyce,high_tree,337,-0.147074739983721,0.37245773741053056,0.34124629080118696
env_soilmoisture,auc,all,339,0.00040301895297477824,0.017012866682661793,0.5073746312684366
env_soilmoisture,tss,all,339,0.0032150194956057244,0.04021180730480083,0.5457227138643068
env_soilmoisture,boyce,all,339,-0.005583712839512722,0.0971200877179884,0.46017699115044247
env_soilmoisture,auc,low_tree,339,-0.0016437069762992602,0.02060330337057474,0.45132743362831856
env_soilmoisture,tss,low_tree,339,0.0023838326965786244,0.04385095606365312,0.5073746312684366
env_soilmoisture,boyce,low_tree,339,-0.005494780385598537,0.1307218096468864,0.45427728613569324
env_soilmoisture,auc,no_tree,336,-0.0019410529918474394,0.021989573878890847,0.45535714285714285
env_soilmoisture,tss,no_tree,336,0.0017885052199303369,0.04589756362809711,0.4880952380952381
env_soilmoisture,boyce,no_tree,336,0.0021537768036579827,0.15421530560510588,0.47023809523809523
env_soilmoisture,auc,cropland,336,-0.00034346007756614775,0.028164350018251683,0.49404761904761907
env_soilmoisture,tss,cropland,336,0.005065225072522858,0.049287331956655335,0.5148809523809523
env_soilmoisture,boyce,cropland,336,0.003461085027281406,0.1962894228543834,0.49404761904761907
env_soilmoisture,auc,high_tree,337,0.0008681984223908855,0.022453087131097803,0.5014836795252225
env_soilmoisture,tss,high_tree,337,0.0036833617753449705,0.05658170269402082,0.5192878338278932
env_soilmoisture,boyce,high_tree,337,-0.014534289397898905,0.16906820601070047,0.4688427299703264
env_circular,auc,all,339,0.0074188958949826765,0.014949232695023254,0.7079646017699115
env_circular,tss,all,339,0.018297908406263032,0.04310892979926652,0.6843657817109144
env_circular,boyce,all,339,0.016489488923277236,0.07700804143110217,0.6017699115044248
env_circular,auc,low_tree,339,0.004629096252176433,0.017440347529181426,0.6194690265486725
env_circular,tss,low_tree,339,0.004983450760613513,0.0394220765413566,0.584070796460177
env_circular,boyce,low_tree,339,0.020757398206832974,0.12941503770979346,0.5457227138643068
env_circular,auc,no_tree,336,0.003752858771056243,0.018653891872974185,0.5982142857142857
env_circular,tss,no_tree,336,0.0033910975168114747,0.042306555292864055,0.5714285714285714
env_circular,boyce,no_tree,336,0.02048216967076823,0.15825319885837325,0.5744047619047619
env_circular,auc,cropland,336,0.005000579942989721,0.022129151233055908,0.625
env_circular,tss,cropland,336,0.009291981553469381,0.046285551125821764,0.6279761904761905
env_circular,boyce,cropland,336,0.033228419488916874,0.1810395384801876,0.6041666666666666
env_circular,auc,high_tree,337,0.0090826967983079,0.023884616648375063,0.6498516320474778
env_circular,tss,high_tree,337,0.02168911400635546,0.07751182599866382,0.6231454005934718
env_circular,boyce,high_tree,337,0.004286383468564835,0.1659956486130796,0.5400593471810089
env_availability,auc,all,339,0.011599496779254556,0.01763483199827913,0.7581120943952803
env_availability,tss,all,339,0.024842111198954527,0.04549297982125688,0.7581120943952803
env_availability,boyce,all,339,0.011959431195834902,0.0928663134570812,0.5427728613569321
env_availability,auc,low_tree,339,0.016522416180315778,0.02489706706110139,0.7522123893805309
env_availability,tss,low_tree,339,0.02901741070256429,0.057789142557312954,0.7315634218289085
env_availability,boyce,low_tree,339,0.03014646007870766,0.17315418211478528,0.5309734513274337
env_availability,auc,no_tree,336,0.01698411897668794,0.026215733869987295,0.7559523809523809
env_availability,tss,no_tree,336,0.03295768889356251,0.060664144524260416,0.7291666666666666
