species,latitude,longitude,year,country,basis
Rhaphiolepis bibas,44.14046,0.83158,1996,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.48535,3.06889,1996,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.7394,9.44262,1993,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.7438,9.42213,1993,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.58484,7.14844,1988,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.7497,7.53336,2009,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.08887,5.76168,2009,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.56897,4.05184,2009,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.31003,3.07638,2009,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.333,6.63675,2009,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.5639,4.0595,2009,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.84258,3.55951,2008,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.4041,2.57551,2008,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.5287,3.36115,2008,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.43906,2.59708,2008,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.94429,7.1746,2008,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.54994,5.2888,2007,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.96344,-0.36179,2007,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.67479,2.79777,2006,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.91909,4.80543,2006,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.67448,2.81723,2006,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.8627,3.58602,2006,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.16868,6.13441,2006,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.91908,4.80543,2006,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.50081,3.10961,2005,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.17876,5.76598,2005,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.04543,-0.62098,2005,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.94793,-0.41565,2005,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.07916,-0.68289,2005,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.36008,-1.40158,2005,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.5811,3.01477,2005,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.07881,6.12954,2004,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.4286,6.65188,2004,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,46.24532,6.04476,2003,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.229,2.11647,2002,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.58568,3.86219,2002,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.21125,2.20064,2002,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,46.0341,5.94205,2001,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,48.8416,2.29385,2003,FR,OBSERVATION
Rhaphiolepis bibas,48.9184,2.60192,2000,FR,OBSERVATION
Rhaphiolepis bibas,48.91613,2.6024,2000,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.36782,4.849883,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.503635,4.743811,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.783119,-0.602824,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.6045,3.87138,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.60434,3.87129,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.60438,3.87131,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.60456,3.87139,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.60441,3.87132,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.141881,4.79133,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.923515,-0.360684,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.862076,3.033859,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.781667,4.862605,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.803858,7.504867,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.581225,1.458887,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.731747,2.881119,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.690989,2.764638,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.110165,5.970337,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.320848,2.864629,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.1914,5.709472,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.852658,4.961076,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.624255,6.771928,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.103322,9.512147,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.538891,6.947234,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.212342,5.779222,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.603557,3.91443,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.252117,5.070222,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.276547,3.491597,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,41.88254,8.80053,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.65641,4.63719,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.89727,-0.56507,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.901337,-0.562611,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.634828,8.936153,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.682891,2.627599,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.392525,4.752138,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.562384,3.849895,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.10033,5.881861,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.781655,4.862617,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.893171,-0.506494,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.659795,-1.173045,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.72605,4.712149,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.656412,4.637188,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,46.187063,-1.386522,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.293092,-0.355605,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.120575,6.13177,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.685026,2.881784,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.770104,7.493234,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.103218,9.512175,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.906267,-0.566099,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.081083,5.890063,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.310079,3.076862,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.727203,-1.208058,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.727246,7.253913,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.28113,5.392963,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.85357,1.805175,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.901485,-0.562586,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.777375,4.827275,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.952994,4.80804,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.782279,4.088405,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.310403,6.641997,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.644466,7.009134,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.833428,1.296096,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.185655,5.607738,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.602448,3.853022,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.852528,4.9609,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.681184,2.792907,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.571688,7.075281,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.412,8.644654,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.595018,3.880969,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.614362,3.872538,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.161306,4.53798,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.778313,4.901938,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.892538,6.102781,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.846938,-0.5635,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.663248,7.138941,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.629947,1.447208,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.334777,5.169489,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.375126,6.208896,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.705014,7.130942,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.275453,3.3529,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.931455,5.189043,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.901578,-0.562608,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.120431,6.131778,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.33441,3.52208,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.718228,7.277025,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.319917,5.405737,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.487092,3.726145,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.873675,5.071639,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.106064,6.026206,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.040803,4.895416,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.8498,-0.4514,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.571433,5.357267,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.381767,5.194197,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.92825,4.825272,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.213898,-0.374115,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.821597,-0.571055,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.869196,6.183746,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.712471,5.307747,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.884972,4.713847,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.594955,-0.161487,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.348109,4.788331,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.615309,1.430846,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.66861,-1.388889,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.242045,1.670228,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.413389,1.443937,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.857561,0.25619,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.758103,5.398483,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.6672,0.190502,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,46.104314,-1.095663,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.857197,-0.037384,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.689328,5.510272,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.632606,1.451339,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.866678,4.929722,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.421319,1.438648,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.247263,5.833503,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,45.045638,5.057932,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.845559,-0.561737,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.317478,6.547005,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.215884,-1.207554,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.995158,1.633425,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.766942,7.482525,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.429253,6.439255,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.648354,-0.889838,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.766849,7.482454,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.856626,2.247548,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.185453,5.709333,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.442813,6.776642,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.214026,6.639067,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.581208,2.871788,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.600184,0.606941,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.997161,1.880778,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,43.458901,6.665052,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.049509,3.974918,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,44.60308,0.362395,2016,FR,HUMAN_OBSERVATION
Rhaphiolepis bibas,42.937265,2.230406,2016,FR,HUMAN_OBSERVATION
